Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
2013,4,0.00,30.00,117.00
2013,5,0.00,11.00,51.00
2013,6,0.00,5.00,6.00
2013,7,0.00,18.00,27.00
2013,8,0.00,0.00,0.00
2013,9,0.00,0.00,0.00
2013,10,0.00,25.00,36.00
2013,11,0.00,108.00,266.00
2013,12,0.00,14.00,31.00
2014,1,0.00,47.00,142.00
2014,2,0.00,76.00,608.00
2014,3,0.00,52.00,194.00
2014,4,0.00,320.00,389.00
2014,5,0.00,6.00,10.00
2014,6,0.00,46.00,79.00
2014,7,0.00,10.00,15.00
2014,8,0.00,12.00,24.00
2014,9,0.00,5.00,7.00
2014,10,0.00,5.00,7.00
2014,11,0.00,9.00,18.00
2014,12,0.00,50.00,90.00
2015,1,0.00,147.00,317.00
2015,2,0.00,20.00,67.00
2015,3,0.00,28.00,97.60
2015,4,0.00,110.00,234.60
2015,5,0.00,7.00,26.00
2015,6,0.00,19.00,38.00
2015,7,0.00,0.00,0.00
2015,8,0.00,3.00,5.00
2015,9,0.00,10.00,32.00
2015,10,0.00,3.00,8.00
2015,11,0.00,25.00,57.00
2015,12,0.00,116.00,329.00
2016,1,0.00,42.00,143.00
2016,2,0.00,62.00,247.00
2016,3,0.00,114.00,628.00
2016,4,0.00,10.00,34.00
2016,5,0.00,96.00,115.00
2016,6,0.00,37.00,66.00
2016,7,0.00,37.00,102.00
2016,8,0.00,18.00,24.00
2016,9,0.00,42.00,93.00
2016,10,0.00,9.00,15.00
2016,11,0.00,8.00,30.00
2016,12,0.00,48.00,183.00
2017,1,0.00,125.00,460.00
2017,2,0.00,57.00,227.00
2017,3,0.00,46.00,306.00
2017,4,0.00,46.00,79.00
2017,5,0.00,140.00,168.00
2017,6,0.00,7.00,10.00
2017,7,0.00,3.00,7.00
2017,8,0.00,5.00,7.00
2017,9,0.00,4.00,7.00
2017,10,0.00,72.00,264.00
2017,11,0.00,53.00,225.00
2017,12,0.00,18.00,41.00
2018,1,0.00,42.00,203.00
2018,2,0.00,175.00,587.50
2018,3,0.00,124.00,754.00
2018,4,0.00,8.00,28.00
2018,5,0.00,12.00,24.00
2018,6,0.00,3.00,8.00
2018,7,0.00,24.00,29.00
2018,8,0.00,0.00,0.00
2018,9,0.00,17.00,38.00
2018,10,0.00,27.00,38.00
2018,11,0.00,101.00,178.00
2018,12,0.00,240.00,441.00
2019,1,0.00,190.00,786.00
2019,2,0.00,218.00,1313.00
2019,3,0.00,126.00,476.00
2019,4,0.00,125.00,256.00
2019,5,0.00,10.00,42.00
2019,6,0.00,26.00,27.00
2019,7,0.00,9.00,28.00
2019,8,0.00,4.00,9.00
2019,9,0.00,1.00,1.00
2019,10,0.00,14.00,15.00
2019,11,0.00,0.00,0.00
2019,12,0.00,3.00,6.00
2020,1,0.00,138.00,584.00
2020,2,0.00,125.00,424.00
2020,3,0.00,53.00,130.00
2020,4,0.00,17.00,53.00
2020,5,0.00,53.00,97.00
2020,6,0.00,13.00,19.00
2020,7,0.00,16.00,25.00
2020,8,0.00,0.00,0.00
2020,9,0.00,9.00,19.00
2020,10,0.00,3.00,5.40
2020,11,0.00,11.00,36.60
